"","term","estimate","std.error","statistic","p.value"
"195","(Intercept)",0.989277454716286,0.264228980669543,3.74401571019767,0.000216561541533499
"196","lag1",-0.284123672377843,0.0517377451053257,-5.49161297616344,0.0000000841917115076925
"197","lag4",-0.120364927013766,0.0515370516160502,-2.33550277401357,0.0201674119723172
"198","CPI_lag7",1.63229921982958,0.318470116514483,5.12543920193954,0.000000528922489323642
"199","(Intercept)",0.155294452803983,0.07015156838494,2.21369894329149,0.0275965239526818
"200","lag3",0.130839318748005,0.052673884021971,2.48395046572663,0.0135354850211367
"201","lag6",0.109264734111776,0.0539648757100046,2.02473799252204,0.0437739593972638
"202","lag12",0.315274927827502,0.0543050222819225,5.80563112912031,0.0000000162211061546468
"203","CPI_lag9",-0.168961946371139,0.0700018744516682,-2.4136774578486,0.0163873467664381
"204","CPI_lag11",-0.142179897611231,0.0691723549939301,-2.0554439360017,0.0406957773151948
"205","(Intercept)",0.439541156783088,0.20044157970358,2.19286416238137,0.0290822277709757
"206","lag1",-0.422667931888839,0.0537218375728319,-7.86771173483816,0.0000000000000654318025283682
"207","lag2",-0.298572486045426,0.053298506195741,-5.60189219842122,0.0000000478570877592669
"208","lag4",-0.184503314077205,0.0538579448186151,-3.42573996647259,0.000698346055530887
"209","lag5",-0.127079513245323,0.0531761979725345,-2.38978185899939,0.0174735186867393
"210","lag7",0.123146259294243,0.050498242865729,2.43862463931031,0.0153212356782385
"211","CPI_lag7",0.590041255475868,0.241388259496155,2.4443660048233,0.0150843185834659
"212","(Intercept)",0.476483996709572,0.137834822669263,3.4569203012863,0.000635572194997984
"213","lag1",-0.18202828577162,0.0576878684646089,-3.15539975069963,0.00178625410928861
"214","lag2",-0.205629154231842,0.0580973682809672,-3.53938844935953,0.000472937811889575
"215","lag10",-0.124682074181543,0.0520617334554252,-2.3948890270489,0.0173149991427417
"216","lag12",0.11440450856518,0.051033070649272,2.24177199430997,0.0257976496643575
"217","(Intercept)",0.676910991928147,0.21566947527377,3.13864996921275,0.0019449583595326
"218","lag1",-0.181586586161216,0.0681973695978812,-2.66266261047784,0.00836183964609508
"219","lag10",-0.227951526701058,0.0663295013912493,-3.43665370490982,0.000711728608754932
"220","lag11",-0.170500254348379,0.0681978626271816,-2.50008208146428,0.0131927141212188
"221","lag12",-0.148220723078414,0.0664807221610621,-2.22952937724295,0.0268531259648273
"222","(Intercept)",0.0778177707858468,0.122352641997046,0.636012181802544,0.525461023150407
"223","lag12",0.632407780272737,0.0516419878104303,12.2459999524846,0.0000000000000000000000000225623434187696
"224","(Intercept)",0.353949657253905,0.166255881739305,2.12894517505799,0.0345070548044399
"225","lag3",-0.249673902990648,0.0629920548471058,-3.96357768605352,0.000103386303590522
"226","lag6",-0.207804118113658,0.0649638351354386,-3.19876617013792,0.00160966000890111
"227","lag12",0.47423192450801,0.0604270211426908,7.848010964965,0.000000000000268586379102806
"228","(Intercept)",0.785404867389408,0.26461039237198,2.96815578688729,0.00323569035124677
"229","lag1",-0.178466693248092,0.0546047078549757,-3.2683389447313,0.00120664154749633
"230","lag2",-0.22247611432285,0.0551839843081181,-4.03153409657159,0.0000702199444154569
"231","lag8",0.111677473013954,0.0540998369361797,2.06428483593578,0.0398444438836768
"232","lag10",0.109612389691621,0.055092565410222,1.98960402143994,0.0475362457804232
"233","CPI_lag7",0.722207911756753,0.319345427479893,2.2615257636724,0.0244377275614504
"234","(Intercept)",0.123912406731276,0.102698785818457,1.20656155517085,0.22871919260315
"235","lag1",-0.133279036052514,0.0532873377164699,-2.50113895277828,0.0130073211611739
"236","lag2",0.105625687487223,0.0533229585339783,1.98086697346165,0.0486806043829451
"237","lag3",0.144344836600718,0.0535123720952062,2.69741054169506,0.00745417187017281
"238","lag6",0.118295396435526,0.0525659065785771,2.25042055079359,0.0252749142394961
"239","lag10",0.156936389636282,0.050799215791752,3.08934669935914,0.00222803757959647
"240","(Intercept)",-0.132105523805159,0.253309529057754,-0.521518176977225,0.602386825231821
"241","lag1",0.461562008791624,0.0493436590897411,9.3540288115274,0.00000000000000000194627498245937
"242","CPI_lag1",0.45613807210761,0.228238789112193,1.99851249597802,0.0465543644643203
"243","CPI_lag7",-0.719267888522968,0.221749123327773,-3.24361096778633,0.00131206874279415
"244","CPI_lag12",0.521790971290407,0.219319168399952,2.37913984033928,0.0179722336122647
"245","(Intercept)",0.0728412401697015,0.0923224385812551,0.788987393412407,0.430730237357059
"246","lag1",-0.129496724928395,0.0513965329111576,-2.51956148778048,0.0122591601187668
"247","(Intercept)",1.23057608812832,0.452164579080603,2.72152252755065,0.00687539383134731
"248","lag1",0.343968626918506,0.0536716333694828,6.40876018343954,0.000000000562846928373009
"249","lag11",0.231925867373284,0.0540243899034593,4.29298447956066,0.000023779069728463
"250","lag12",-0.12867283410542,0.0547164398821315,-2.35163023001137,0.0193335747574048
"251","CPI_lag2",-1.98475196949829,0.524317424136658,-3.78540151086222,0.000185096824939994
"252","CPI_lag5",-1.15473050071351,0.509626585217236,-2.26583646577482,0.024169135112261
"253","(Intercept)",0.11865672488948,0.06968638900244,1.70272454331541,0.0896417776998943
"254","lag5",0.103351952134199,0.0515747065138544,2.00392710148405,0.0459648258133396
"255","lag7",0.12976187458664,0.0515983566314119,2.51484510473041,0.0124243240916421
"256","lag12",0.121167185239461,0.0562156564210709,2.15539927759421,0.0319153545145084
"257","(Intercept)",0.0603544707542664,0.118614481067116,0.508828856403426,0.61123886569269
"258","lag12",0.278363482087918,0.0547456467618475,5.08466880113491,0.000000642846689026436
"259","(Intercept)",1.34284703072852,0.208379345543799,6.44424248105852,0.000000000452768995201598
"260","lag1",-0.267385232143361,0.0506994568199979,-5.27392695927056,0.000000253508688684368
"261","lag12",0.221362443719484,0.0526625034361362,4.20341664896221,0.0000345795566499027
"262","(Intercept)",0.996571191263629,0.198232237392077,5.02729124371705,0.000000858525565777999
"263","lag1",-0.218393289025759,0.0517800996773469,-4.2177070030111,0.0000327484911203273
"264","lag3",-0.121833340265765,0.0527661842174671,-2.30892838041214,0.0216292562766333
"265","lag6",-0.109924420241819,0.0526006230414056,-2.08979312194248,0.0374811795857503
"266","lag8",0.142600643017785,0.0539631659865068,2.64255516537784,0.00866167501153211
"267","lag11",-0.128348544554533,0.0576357954307035,-2.22688944596675,0.0266992391949043
"268","lag12",0.208716642432056,0.0584098111905699,3.57331479382958,0.000410750164222592
"269","CPI_lag1",0.409868503977197,0.174888686426506,2.34359644612825,0.019753739988112
"270","CPI_lag10",-0.47175501856496,0.169169738226042,-2.78864898362974,0.00563224024639496
"271","(Intercept)",-5.67152568954523,2.6673087660969,-2.12631014512971,0.034481649792984
"272","lag1",-0.592982274719768,0.0627986072937552,-9.44260231673539,0.00000000000000000306765880666919
"273","lag2",-0.421891614279143,0.0713312163212223,-5.91454395477094,0.0000000111792886815514
"274","lag3",-0.371659677905843,0.0725799141259977,-5.12069602701165,0.00000061793324906555
"275","lag4",-0.268364563065877,0.0730398810650318,-3.67421960650424,0.000293271996540547
"276","lag5",-0.265163645969173,0.0750163433655186,-3.53474501785775,0.000488201028763489
"277","lag6",-0.279837550688484,0.0730774894266663,-3.82932627932304,0.000163412452863545
"278","lag7",-0.268023632073367,0.0720043140610151,-3.72232741285819,0.000245118061945724
"279","lag8",-0.216670789562896,0.0718234883929,-3.0167121426577,0.00282573168756137
"280","lag9",-0.33616736367346,0.0723195524355295,-4.64836067636263,0.00000548086141898547
