,cola,colB,colc,winner
265,"HOTELS, MOTEL, INNS AND SIMILAR ACCOMMODATION SERVICES",..,NA,NA
266,"HOLIDAY CENTRES, CAMPING SITES, YOUTH HOSTELS AND SIMILAR ACCOMMODATION SERVICES",..,NA,NA
267,ACCOMMODATION SERVICES OF OTHER ESTABLISHMENTS,..,NA,NA
268,PERSONAL CARE,30,NA,NA
269,HAIRDRESSING AND PERSONAL GROOMING ESTABLISHMENTS,8,NA,NA
270,HAIRDRESSING FOR MEN AND CHILDREN,..,NA,NA
271,HAIRDRESSING FOR WOMEN,..,NA,NA
272,PERSONAL GROOMING TREATMENTS,..,NA,NA
273,APPLIANCES AND PRODUCTS FOR PERSONAL CARE,22,NA,NA
274,ELECTRIC APPLIANCES FOR PERSONAL CARE,..,NA,NA
275,NON ELECTRIC APPLIANCES,..,NA,NA
276,ARTICLES FOR PERSONAL HYGIENE AND WELLNESS,..,NA,NA
277,PERSONAL EFFECTS (NEC),10,NA,NA
278,"JEWELLERY, CLOCKS AND WATCHES",7,NA,NA
279,JEWELLERY,..,NA,NA
280,CLOCKS AND WATCHES,..,NA,NA
281,"REPAIR OF JEWELLERY, CLOCKS AND WATCHES",..,NA,NA
282,OTHER PERSONAL EFFECTS,3,NA,NA
283,TRAVEL GOODS,..,NA,NA
284,ARTICLES FOR BABIES,..,NA,NA
285,OTHER PERSONAL EFFECTS NEC,..,NA,NA
286,SOCIAL PROTECTION,12,NA,NA
287,CHILD CARE SERVICES,..,NA,NA
288,RETIREMENT HOMES FOR ELDERLY PERSONS AND RESIDENCES FOR DISABLED PERSONS,..,NA,NA
289,SERVICES TO MAINTAIN PEOPLE IN THEIR PRIVATE HOMES,..,NA,NA
290,INSURANCE,8,NA,NA
291,HOUSE CONTENTS INSURANCE,2,NA,NA
292,HEALTH INSURANCE AND OTHER INSURANCE,2,NA,NA
293,TRANSPORT INSURANCE,4,NA,NA
294,MOTOR VEHICLE INSURANCE,..,NA,NA
295,TRAVEL INSURANCE,..,NA,NA
296,FINANCIAL SERVICES (NEC),28,NA,NA
297,OTHER FINANCIAL SERVICES (NEC),28,NA,NA
298,CHARGES BY BANKS AND POST OFFICES,..,NA,NA
299,"FEES AND SERVICE CHARGES OF BROKERS, INVESTMENT COUNSELLORS",..,NA,NA
300,OTHER SERVICES (NEC),11,NA,NA
301,ADMINISTRATIVE FEES,..,NA,NA
302,LEGAL SERVICES AND ACCOUNTANCY,..,NA,NA
303,FUNERAL SERVICES,..,NA,NA
304,OTHER FEES AND SERVICES,..,NA,NA
